,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
5388,False,/1dApwEEMrk7QnUb1EpyYWrG6nRh.jpg,"['Comedy', 'Drama', 'Fantasy', 'Romance']",10215,en,Sliding Doors,"London publicist Helen, effortlessly slides between parallel storylines that show what happens when she does or does not catch a train back to her apartment. Love. Romantic entanglements. Deception. Trust. Friendship. Comedy. All come into focus as the two stories shift back and forth, overlap and surprisingly converge.",19.734,/s8VOVTywXZIIHqdEjkCZziH0ebq.jpg,1998-04-23,Sliding Doors,False,6.562,1324
5389,False,/bCDn6Bzfjjiov7Reu5MVZIhVQJm.jpg,"['Family', 'Fantasy', 'Animation', 'Adventure', 'TV Movie']",1362,en,The Hobbit,"Bilbo Baggins the Hobbit was just minding his own business, when his occasional visitor Gandalf the Wizard drops in one night. One by one, a whole group of dwarves drop in, and before he knows it, Bilbo has joined their quest to reclaim their kingdom, taken from them by the evil dragon Smaug. The only problem is that Gandalf has told the dwarves that Bilbo is an expert burglar, but he isn't...",19.422,/2ohvyMPhvjftLrM6S6Ljr6QrL0u.jpg,1977-11-27,The Hobbit,False,6.563,318
5390,False,/k0q6OmVjVsMIocC3ovjh1Vzgx7J.jpg,"['Drama', 'Action', 'Adventure', 'History', 'War']",72431,en,Red Tails,"The story of the Tuskegee Airmen, the first African-American pilots to fly in a combat squadron during World War II.",17.343,/jiORLnBsGcVcqIibkGBE213zAyh.jpg,2012-01-19,Red Tails,False,6.562,634
5391,False,/zZRbCsecON0xIiJjbMvQvuDCsCY.jpg,"['Drama', 'Romance']",10818,fr,Naissance des pieuvres,"Set during a sultry summer in a French suburb, Marie is desperate to join the local pool's synchronized swimming team, but is her interest solely for the sake of sport or for a chance to get close to Floriane, the bad girl of the team? Sciamma, and the two leads, capture the uncertainty of teenage sexuality with a sympathetic eye in this delicate drama of the angst of coming-of-age.",19.571,/oNrs9disgGDtOORToDt5dIqYFBi.jpg,2007-05-17,Water Lilies,False,6.562,421
5392,False,/2StTZG7zzlXRN7tY1LnoTqkFAJL.jpg,"['Romance', 'Drama']",2882,fr,"Ensemble, c'est tout","When Camille falls ill, she is forced to live with Philibert and Franck.",9.114,/dNgTyFxp84SWeOkgdWeZDiXsADG.jpg,2007-03-21,Hunting & Gathering,False,6.562,406
5393,False,/iv5N169nQIzrS0pZ8MBEiemTtVt.jpg,"['Drama', 'History']",457136,en,Mary Queen of Scots,"In 1561, Mary Stuart, widow of the King of France, returns to Scotland, reclaims her rightful throne and menaces the future of Queen Elizabeth I as ruler of England, because she has a legitimate claim to the English throne. Betrayals, rebellions, conspiracies and their own life choices imperil both Queens. They experience the bitter cost of power, until their tragic fate is finally fulfilled.",24.856,/b5RMzLAyq5QW6GtN9sIeAEMLlBI.jpg,2018-12-07,Mary Queen of Scots,False,6.6,1795
5394,False,/ohDtIpcfP2NXtvAANsQFsh76BO0.jpg,"['Family', 'Comedy', 'Animation']",7518,en,Over the Hedge,"A scheming raccoon fools a mismatched family of forest creatures into helping him repay a debt of food, by invading the new suburban sprawl that popped up while they were hibernating – and learns a lesson about family himself.",40.862,/jtZnymorbnHY7mOiBXR14ZDJseM.jpg,2006-05-17,Over the Hedge,False,6.561,4481
5395,False,/axg73mVxiZcE9Pzynu2uj1TYIgj.jpg,"['Comedy', 'Music']",6575,en,Walk Hard: The Dewey Cox Story,"Following a childhood tragedy, Dewey Cox follows a long and winding road to music stardom. Dewey perseveres through changing musical styles, an addiction to nearly every drug known and bouts of uncontrollable rage.",15.593,/vqIEXsBPWqkuzwtRLSeSFZGYpjN.jpg,2007-12-21,Walk Hard: The Dewey Cox Story,False,6.6,677
5396,False,/wPW1cMe2XyeLnm2DNDudoDXVSwt.jpg,"['Drama', 'Romance']",2788,en,Reality Bites,"A small circle of friends suffering from post-collegiate blues must confront the hard truth about life, love and the pursuit of gainful employment. As they struggle to map out survival guides for the future, the Gen-X quartet soon begins to realize that reality isn't all it's cracked up to be.",12.788,/qGDhodtpkpxkrFqokenGNJlzt6w.jpg,1994-02-18,Reality Bites,False,6.6,733
5397,False,/ktY9QTrPToBZ1RlpSOcD7CaExdy.jpg,['Drama'],112336,en,Hitchcock,"Following his great success with ""North by Northwest,"" director Alfred Hitchcock makes a daring choice for his next project: an adaptation of Robert Bloch's novel ""Psycho."" When the studio refuses to back the picture, Hitchcock decides to pay for it himself in exchange for a percentage of the profits. His wife, Alma Reville, has serious reservations about the film but supports him nonetheless. Still, the production strains the couple's marriage.",13.296,/zlG4QzB00VM6QHUmRkKaboCOgat.jpg,2012-11-22,Hitchcock,False,6.6,1510
5398,False,/47ZwziAUEvfTgeunHFGa2r26Hzx.jpg,"['Adventure', 'Comedy', 'Drama', 'Family']",25059,en,Homeward Bound II: Lost in San Francisco,"When the pets accidentally get separated from their vacationing owners, Chance, Shadow, and Sassy navigate the mean streets of San Francisco, trying to find their home across the Golden Gate Bridge. But the road is blocked by a series of hazards, both man and beast.",16.342,/kfYawa9SF9MQ3ae0TXAfhDLFGv7.jpg,1996-03-08,Homeward Bound II: Lost in San Francisco,False,6.6,477
